Refrence Series;Organism;Sample Id;Characteristic;Time;Type;Experiment;Sample;Overall_Design
GSE90149;Homo sapiens;GSM2399756;mesenchymal stromal cells, fetal side of placenta patient no. 33;No;Pert;A;2;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399757;mesenchymal stromalcells, maternal side of placenta patient no. 33;No;Pert;A;3;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399758;mesenchymal stromal cells, fetal side of placenta patient no. 30;No;Pert;A;2;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399759;mesenchymal stromal cells, fetal side of placenta patient no. 45;No;Pert;A;2;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399760;mesenchymal stromalcells, maternal side of placenta patient no. 45;No;Pert;A;3;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399761;mesenchymal stromal cells, fetal side of placenta patient no. 46 rep1;No;Pert;A;2;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399762;mesenchymal stromalcells, maternal side of placenta patient no. 46 rep1;No;Pert;A;3;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399763;mesenchymal stromal cells, fetal side of placenta patient no. 46 rep2;No;Pert;A;2;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399764;mesenchymal stromalcells, maternal side of placenta patient no. 46 rep2;No;Pert;A;3;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399765;mesenchymal stromal cells, fetal side of placenta patient no. 47;No;Pert;A;2;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399766;mesenchymal stromalcells, maternal side of placenta patient no. 47;No;Pert;A;3;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399767;mesenchymal stromal cells, fetal side of placenta patient no. 31;No;Pert;A;2;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
GSE90149;Homo sapiens;GSM2399768;mesenchymal stromalcells, maternal side of placenta patient no. 30;No;Pert;A;3;25 samples, 11 bone marrow (no replicates) from male and female donors, 14 healthy human term placentas from planned cesareans. The study was approved by the Ethics Committee
