Preferred Label;Synonyms
 obsolete pathogen adherence to host cell;
pathologically immunosuppressed organism;
acute infectious disease course;
symbiont host role;
mechanical vector of infectious agent role;
focal infection;
disease course;
 obsolete antibiotic resistance;
 obsolete symbiant;
 obsolete highly exposed persistently seronegative;
 obsolete pathogenicity island;
 obsolete disruption of normal microbioflora;
 obsolete pathogen life cycle;
continuant;
Subset;
HIV-based immunosuppression;
infectious agent vector role;
host role;
 obsolete antimicrobial;
 obsolete virus-induced cytopathogenesis;
role;
entity;
 obsolete mode of transmission;
process boundary;
process of establishing an infection;
fiat object;
SynonymType;
exotoxin;
 obsolete end reservoir;
 obsolete susceptibility;
antiparasitic;
 obsolete transport by lymph;
 obsolete infectious organism;
infectious disease pandemic;
susceptible population;at-risk population
resistant entity;
antifungal;
 obsolete quality of pathogen;
 obsolete replicating biological material entity;
infectious agent host;
invasion factor;invasin
parasite;
 obsolete passage through cell membrane;
subclinical infection;
infectious agent vehicle role;
disinfectant role;
antiparasitic disposition;
infectious disease endemicity;
parasite host;
definitive host role;primary host role
virulence factor;
emerging pathogen;
direct host exposure to infectious agent;
immaterial entity;
chronic carrier of infectious agent;
intermediate host role;secondary host role
pathogen host;
toxin;
 obsolete epidemic;
 obsolete endogenous;
Bacteria;
biological vehicle of infectious agent role;
antiseptic role;
protective resistance;
 obsolete active;
 obsolete pandemic;
 obsolete invasive;
 obsolete route of entry;
commensalism;
production;
 obsolete co-infected;
source of infection;
opportunistic pathogen;opportunist
 obsolete toxicity;
 obsolete mortality;
Synonym;
growth;
 obsolete antibiotic;
 obsolete pathogen;
 obsolete virulence factor;
reverse zoonosis;
 obsolete dormancy period;
genetic resistance to infectious agent;
molecular entity;
humoral immune response;
macromolecular complex;
occurrent;
transmissibility disposition;
human pathogenicity disposition;
replication;
immunosuppressive disposition;
indirect;
community-acquired infection;
simple infection;
 obsolete colonization;
 obsolete herd immunity;
microbistatic;
infectious agent portal of exit;
immunocompetence;
collective resistance disposition;
host living in endemic area;
 obsolete pathogen outbreak;
toxin disposition;
 obsolete pathogen evasion of host immune response;
 obsolete antigenic variation;
 obsolete carrier;
 obsolete penetration via injury of epithelial barrier;
 obsolete engulfment by phagocyte;
host living with infected household contact;
anatomical entity;
infectious disease sporadicity;
infectious disease incidence rate;
viremia;
one-dimensional continuant fiat boundary;
 obsolete fimbrial specific adherence;
negative regulation of developmental process;
symbiont role;
colonized host;
drug-based immunosuppression;
infectious disorder;
normal resident microbiota population;normal resident microflora population
negative regulation of immune response;
infectious agent vector;
 obsolete damaging host cells and tissues in subepithelial space;
 obsolete transcytosis;
adhesion disposition;
immunity to infectious agent;protective immunity to infectious agent
infection incidence rate;
infectious disease course;
 obsolete primary pathogen;
 obsolete chronic carrier;
temporal region;
 obsolete emerging pathogen;
generically dependent continuant;
symbiosis, encompassing mutualism through parasitism;
 obsolete configured infectious organism population;
blood;
 obsolete penetration of epithelial barrier;
zero-dimensional spatial region;
site;
disposition to form a non-parasitic colony;
paratenic host role;
Archaea;
developmental process;
disease;
acquired immunity to infectious agent;adaptive immunity to infectious agent|immune memory
neurotoxin;
re-emerging pathogen;
 obsolete invasin;
colonization of human anterior nares;
quality;
immunosuppression;
symbiont;
pregnancy-induced immunosuppression;
multi-organism process;
organism population;
metatstatic infection;
antiseptic;
secondary infection;
 obsolete adhesin;
 obsolete case of infectious disease;
 obsolete vertical transmission;
chronic infectious disease course;persistent infectious disease course
Definition;
immunoglobulin complex;
disinfectant;
primary infection;
 obsolete adaptive immunity to infectious agent;
 obsolete biotic;
 obsolete quality of infectious disease;
infectious agent role;
history;
invasive disposition;
 obsolete epidemiological spread of disease;
 obsolete serum resistance;
 obsolete utilization of membranous cell gateway;
 obsolete immunocompromised;
 obsolete fusion protein;
immunodeficient organism;immunocompromised organism
transmission process;
exotoxin disposition;
invasion disposition;
innate immunity to infectious agent;
sterilizing immunity to infectious agent;
infectious disease prevalence;
long-term non-progressing infectious disease course;
extracellular infection;
immunosuppressed organism experiencing drug-based immunosuppression;
 obsolete emergence;
pathogenic disposition;pathogenicity
co-infected organism;
 obsolete resist phagocytosis in subepithelial space;
 obsolete tropism;
 obsolete rapid progression;
 obsolete commensal;
 obsolete fomite;
 obsolete initiation of infection;
 obsolete quality;
 obsolete protective;
humoral immunity to infectious agent;
zero-dimensional continuant fiat boundary;
pathogen role;
infectious agent carrier role;
transition to clinical abnormality;
infectious disposition;
infectious agent transmissibility;
systemic infection;
 obsolete treatment;
 obsolete pathogenicity;
 obsolete progression rate;
 obsolete colonizer;
 obsolete host recovery period;
 obsolete prion;
antimicrobial disposition;
 obsolete enterotoxin disposition;
appearance of disorder;
pathogen host role;
 obsolete symptomatic host;
intracellular infection;
immunosuppressed organism experiencing chronic systemic steroid use-based immunosuppression;
 obsolete induction of damaging host immune response;
 obsolete sign;
specifically dependent continuant;
 obsolete reservoir;
two-dimensional spatial region;
disorder;
release of infectious human pathogen in laboratory;
susceptible organism;
Shigellosis;
severe sepsis;
adaptive immune response;
 obsolete immunization;
 obsolete epidemic spread of disease;
denotator type;
mutualist;
variolation;
infected population;
infectious disease mortality rate;
physiologic immunosuppression;
obligatory symbiont;
paratenic host;
infectious agent reservoir;
 obsolete pathogen spread through host;
 obsolete engulfment;
zero-dimensional temporal region;temporal instant.
intermediate host;secondary host
fomite;
passive immunity to infectious agent;
 obsolete communicable disposition;
opportunistic infectious disposition;opportunitistic pathogenic disposition
antiviral disposition;
extended organism;
cell;
adhesion of symbiont to host;
dead-end host;incidental host
 obsolete end reservoir of infectious agent;dead-end reservoir of infectious agent
 obsolete fusion with host cell membrane;
 obsolete infectious disease;
 obsolete virulence;
 obsolete temperature;
infectious agent portal of entry role;
antifungal disposition;
 obsolete long-term non-progression;
 obsolete object;
 obsolete mobile genetic element;
 obsolete medicine;
organism;
infectious agent transporter role;
colonization of host;
colony;
primary immunodeficiency;congenital immunodeficiency
life-sustaining process;
biological process;
Obsolete Class;
colonization of human;
 obsolete symptom;
cytotoxin;
 obsolete intrinsic incubation period;
spatiotemporal region;
acute infection;
immunosuppressed human experiencing chronic systemic steroid use-based immunosuppression;
nursing-home acquired infection;
amebiasis;
innate immune response;
