Preferred Label;Synonyms;Definitions
ablepharon macrostomia syndrome;poikiloderma with neutropenia, Clericuzio type;A syndrome characterized by  by the association of ablepharon, macrostomia, abnormal external ears, syndactyly of the hands and feet, skin findings (such as dry and coarse skin or redundant folds of skin), absent or sparse hair, genital malformations and developmental delay. Other reported manifestations include malar hypoplasia, absent or hypoplastic nipples, umbilical abnormalities and growth retardation. It is that has material basis in heterozygous mutation in the TWIST2 gene on chromosome 2q37.
abnormal glucose tolerance in mother complicating pregnancy childbirth and/or puerperium;antepartum abnormal glucose tolerance of mother|abnormal glucose tolerance of mother with delivery|postpartum abnormal glucose tolerance of mother;
abnormal pupillary function;;
abnormal retinal correspondence;;
abnormal threshold of rods;abnormal dark adaptation curve;
abnormality of forces of labor;;
abnormality of glucagon secretion;Glucagon secretion abnormality;
abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium;;
abortion complicated by embolism;;
abortion complicated by metabolic disorder;;
abortion complicated by renal failure;;
abortive plague;;
abscess of eyelid;abscess of eyelid disorder;
abscess of thyroid;abscess of thyroid disorder|Thyroid gland abscess;
acalculous cholecystitis;cholecystitis without calculus disorder|acute acalculous cholecystitis|acute cholecystitis without calculus disorder;
Acanthamoeba infectious disease;free-living ameba infectious disease;A parasitic protozoa infectious disease that involves an infection in humans and animals caused by a parasitic protozoan of genus Acanthamoeba, which is an opportunistic pathogen occuring in patients with weakened immune system.
Acanthamoeba keratitis;Acanthamoeba keratitis disorder|Acanthameba keratitis;A parasitic protozoa infectious disease that involves infection of the cornea of the eye with Acanthamoeba in people wearing contact lenses. The symptoms include eye pain, eye redness, blurred vision, sensitivity to light, excessive tearing and sensation of something in the eye.
Acanthocephala infectious disease;;A Pseudocoelomata infectious disease that involves infection by parasitic worms known as thorny-headed worms, characterized by the presence of an evertable proboscis, armed with spines, which is used to pierce and hold the gut wall of the host.
acanthocephaliasis;;A parasitic helminthiasis infectious disease that involves infection of the intestine caused by thorny-headed worms Macracanthorhynchus or Moniliformis moniliformis. The infection has_symptom abdominal pain, has_symptom distension, has_symptom fever, has_symptom decreased appetite, has_symptom nausea, has_symptom vomiting, has_symptom weight loss, has_symptom diarrhea, and has_symptom constipation or has_symptom bloody stools.
acantholytic acanthoma;Acantholytic acanthoma;
acantholytic squamous cell skin carcinoma;Acantholytic squamous cell carcinoma of skin disorder|Acantholytic squamous cell skin carcinoma|acantholytic squamous cell carcinoma of skin ;
acantholytic variant squamous cell breast carcinoma;;
acanthoma;;
acanthosis nigricans;Keratosis nigricans|AN - Acanthosis nigricans|Acanthosis nigricans disorder|keratosis nigricans;OMIM mapping confirmed by DO. [SN].
acatalasia;deficiency of catalase disorder;
accessory nerve disease;disorder of accessory [11th] nerve|disorder of accessory nerve disorder|disorder of 11th nerve|Eleventh nerve disorder;
accommodative esotropia;;
accommodative spasm;Spasm of accommodation;
aceruloplasminemia;;An iron metabolism disease that has_material_basis_in a mutation in the ceruloplasmin gene characterized by progressive neurodegeneration of the retina and basal ganglia and diabetes mellitus.
achalasia;achalasia of esophagus|achalasia of cardia|hypertensive lower esophageal sphincter|Lack of reflex relaxation of lower oesophageal sphincter|esophageal achalasia|cardiospasm;An esophageal disease that is characterized by an inability of the esophagus to move food toward the stomach resulting from the lower esophogeal sphincter not fully relaxing during swallowing.
achalasia microcephaly syndrome;ACHALASIA-MICROCEPHALY SYNDROME|Achalasia microcephaly;An autosomal recessive disease that is characterized by microcephaly, intellectual deficit and early onset symptoms of achalasia (abnormal enlargement of the esophagus, impaired peristalsis, cardiospasm, recurrent vomiting and respiratory infections).
Achard syndrome;;A syndrome that involves arachnodactyly, receding lower jaw, and joint laxity limited to the hands and feet.|OMIM mapping confirmed by DO. [SN].
acheiropody;Acheiropodia|Horn-Kolb Syndrome;OMIM mapping confirmed by DO. [SN].
Achenbach syndrome;Paroxysmal hematoma of the finger disorder;
Achilles bursitis;Haglund's deformity|Capped hock|Achilles bursitis or tendinitis|Haglund's disease;
achondrogenesis;;An osteochondrodysplasia that has_material_basis_in deficient endochondral ossification which results_in dwarfism, short-trunk, short-limbed, anascara, disaprportionately large cranium, and a narrow chest which leads to death in utero or during early neonatal period.
achondrogenesis type IA;achondrogenesis Houston-Harris type;An achondrogenesis that results_in abnormal ossification of the located_in vertebral column or located_in spine.|OMIM mapping confirmed by DO. [SN].
achondrogenesis type IB;achondrogenesis Fraccaro type;An achondrogenesis that has_material_basis_in mutation in the SLC26A2 gene which results_in umbilical or inguinal hernia and a prominent rounded abdomen.|OMIM mapping confirmed by DO. [SN].
achondrogenesis type II;;An achondrogenesis that has_material_basis_in mutations in the COL2A1 gene which results_in underdeveloped lungs, hydrops fetalis, a prominent forehead and abnormal ossification of the located_in vertebral column or located_in pelvis.|OMIM mapping confirmed by DO. [SN].
achondroplasia;Chondrodystrophia|osteosclerosis congenita|Achondroplastic physique;An osteochondrodysplasia that results_in dwarfism which has_material_basis_in abnormal ossification of cartilage in located_in long bone.|OMIM mapping confirmed by DO. [SN].
achromatopsia;Monochromatism|ACHM;A color blindness that is characterized by a congenital cone color vision disorder, the inability to perceive color and to achieve satisfactory visual acuity at high light levels has_material_basis_in autosomal recessive inheritance.
achromatopsia ;rod monochromatism 2|ACHM2|rod monochromacy 2|RMCH2;An achromatopsia that has_material_basis_in homozygous or compound heterozygous mutation in the CNGA3 gene on chromosome 2q11.
achromatopsia ;rod monochromatism 1|ACHM3|ACHM1|Pingelapese blindness|rod monochromacy 1|RMCH1;An achromatopsia that has_material_basis_in homozygous or compound heterozygous mutation in the CNGB3 gene on chromosome 8q2.
achromatopsia ;ACHM4;An achromatopsia that has material basis in homozygous or compound heterozygous mutation in the GNAT2 gene (139340) on chromosome 1p13.
achromatopsia ;ACHM7;An achromatopsia that has_material_basis_in homozygous or compound heterozygous mutation in the ATF6 gene on chromosome 1q23.
achromic nevus;Nonpigmented nevus morphologic abnormality|Nonpigmented nevus|Achromic nevus disorder;
acidophil adenoma;Eosinophil adenoma;
acidophil carcinoma;Acidophil carcinoma morphologic abnormality|Eosinophil carcinoma;
acinar cell carcinoma;acinic cell carcinoma|acinar cell carcinoma morphologic abnormality;A carcinoma that has_material_basis_in abnormally proliferating cells, derives_from spindle cells and/or derives_from giant cells.
acinar cell cystadenocarcinoma;pancreatic acinar cell cystadenocarcinoma|acinar cell cystadenocarcinoma morphologic abnormality;
acinar cell tumor;acinar cell neoplasm morphologic abnormality|acinar cell tumor morphologic abnormality|acinar cell neoplasm NOS morphologic abnormality|acinar cell neoplasm;
Acinetobacter baumannii pneumonia;;
Acinetobacter infectious disease;;
acinic cell breast carcinoma;;
acne;Acne varioliformis|acne vulgaris|frontalis acne;A sebaceous gland disease characterized by areas of blackheads, whiteheads, pimples, greasy skin, and possibly scarring.
acne nevus;Pilosebaceous Nevoid disorder|nevus comedonicus disorder;
acneiform dermatitis;;
Acoelomata infectious disease;;A parasitic helminthiasis infectious disease that involves infection caused by parasitic worms, which are bilaterian, unsegmented, soft-bodied invertebrate animals with no body cavity.
Aconoidasida infectious disease;;An Apicomplexa infectious disease that involves infection caused by the members of the class Aconoidasida.
acoustic neuroma;Vestibular schwannoma|Vestibular Neurilemmoma;
acquired cavovarus foot deformity;Cavovarus deformity of foot, acquired|acquired cavovarus deformity of foot disorder;
acquired coagulation factor deficiency;acquired coagulation factor deficiency NOS disorder|acquired coagulation factor deficiency|acquired coagulation factor deficiency disorder;
acquired color blindness;acquired color vision deficiencies|acquired color vision deficiency;
acquired factor IX deficiency;acquired factor IX deficiency disease disorder;
acquired factor VIII deficiency;acquired factor VIII deficiency disease disorder;
acquired gastric outlet stenosis;acquired hypertrophic pyloric stenosis|adult hypertrophic pyloric stenosis;
acquired hallux varus;acquired hallux varus disorder|Hallux varus - acquired|Hallux varus acquired;
acquired hemangioma;;
acquired hyperkeratosis;acquired keratoderma disorder|Keratoderma, acquired|Keratoderma - acquired|acquired keratoderma NOS disorder|acquired keratoderma NOS|acquired keratoderma|acquired Keratoderma;
acquired immunodeficiency syndrome;AIDS|acquired Immune deficiency|acquired immune deficiency syndrome;A Human immunodeficiency virus infectious disease that results_in reduction in the numbers of CD4-bearing helper T cells below 200 per µL of blood or 14% of all lymphocytes thereby rendering the subject highly vulnerable to life-threatening infections and cancers, has_material_basis_in Human immunodeficiency virus 1 or has_material_basis_in Human immunodeficiency virus 2, which are transmitted_by sexual contact, transmitted_by transfer of blood, semen, vaginal fluid, pre-ejaculate, or breast milk, transmitted_by congenital method, and transmitted_by contaminated needles. Opportunistic infections are common in people with AIDS.
acquired metabolic disease;;A disease of metabolism that has _material_basis_in enzyme deficiency or accumulation of enzymes or toxins which interfere with normal function due to an endocrine organ disease, organ malfunction, inadequate intake, dietary deficiency, or malabsorption.
acquired night blindness;acquired night blindness disorder;
acquired polycythemia;secondary polycythemia disorder|secondary Polycythemia|secondary polycythemia NOS disorder|secondary polycythemia|Polycythemia, secondary;
acquired tear duct stenosis;Stenosis of nasolacrimal duct, acquired|acquired nasolacrimal duct stenosis|Tear duct - acquired stenosis|acquired stenosis of nasolacrimal duct;
acquired thrombocytopenia;secondary thrombocytopenia NOS|secondary thrombocytopenia|secondary thrombocytopenia NOS disorder|acquired thrombocytopenia disorder;
acral lentiginous melanoma;acral lentiginous melanoma, malignant morphologic abnormality|malignant acral lentiginous melanoma;A skin melanoma that is characterized by slow growth of a small pigmented spot on the skin with a clearly defined edge, surrounded by normal-appearing skin and occurs on occurs on non hair-bairing surfaces including hands and feet, subungual sites, and fingers or toes.
acrocallosal syndrome;Schinzel syndrome 1|ACLS|SCHINZEL ACROCALLOSAL SYNDROME;A syndrome that is an autosomal recessive disorder, which is characterized by corpus callosum agenesis, polydactyly, multiple dysmorphic features, motor and mental retardation.|OMIM mapping confirmed by DO. [SN].
acrocapitofemoral dysplasia;;OMIM mapping confirmed by DO. [SN].
acrocephalosyndactylia;Apert syndrome;A synostosis that results_in craniosynostosis and syndactyly.|OMIM mapping confirmed by DO. [SN].
acrodermatitis;;A dermatitis that selectively affects the hands and feet.
acrodermatitis chronica atrophicans;Herxheimer disease|primary diffuse atrophy;An acrodermatitis characterized by a chronically progressive course, leading to widespread atrophy of the skin. It is a clinical manifestation of Lyme borreliosis.
acrodermatitis enteropathica;;
acrodysostosis;;A dysostosis that results_in shortening of interphalangeal joints located_in hand or located_in foot along with mental deficiency.|OMIM mapping confirmed by DO. [SN].
acrofacial dysostosis;;
acrofacial dysostosis Cincinnati type;;An acrofacial dysostosis characterized by a spectrum of mandibulofacial dysostosis phenotypes, such as cleft palate, micrognathia, malar flattening, microcephaly and, in some cases, extrafacial skeletal defects. It is that has material basis in heterozygous mutation in the POLR1A gene on chromosome 2p11.
acrofacial dysostosis Rodriguez type;acrofacial dysostosis, syndrome of Rodriguez;
acrofacial dysostosis, Catania type;Opitz-Caltabiano syndrome|Opitz Mollica Sorge syndrome;
acrofacial dysostosis, Patagonia type;;
acrofrontofacionasal dysostosis;Richieri-Costa-Colletto syndrome|AFFN dysostosis;A dysostosis characterized by intellectual disability, short stature, hypertelorism, broad notched nasal tip, cleft lip palate, postaxial camptobrachypolysyndactyly, fibular hypoplasia and anomalies of foot structure.|Xref MGI.
acrokeratosis verruciformis;Hopf disease|Acrokeratosis verruciformis of Hopf;OMIM mapping confirmed by DO. [SN].
acromegaly;;A disease of metabolism that has_material_basis_in excessive growth hormone production which results_in enlargement located_in limb.
acromelic frontonasal dysostosis;;A dysostosis characterized by cranium bifidum, severe hypertelorism, median cleft lip and palate, nasal bifurcation, brachycephaly, large fontanelle, tibial hemimelia, preaxial polydactyly of the feet and brain malformations.
acromesomelic dysplasia;;An osteochondrodysplasia that has_material_basis_in mesomelia and acromelia, which results_in short limb Dwarfism.
acromesomelic dysplasia, Grebe type;GREBE CHONDRODYSPLASIA;An acromesomelic dysplasia that has_material_basis_in mutation in CDMP-1 which results_in micromelia, absence of middle and proximal phalanges and some metacarpal and metatarsal bones.
acromesomelic dysplasia, Hunter-Thompson type;acromesomelic dwarfism;An acromesomelic dysplasia that has_material_basis_in mutation in AMDH gene which results_in normal axial skeleton but fused bones in the located_in hand or located_in foot.|OMIM mapping confirmed by DO. [SN].
acromesomelic dysplasia, Maroteaux type;;An acromesomelic dysplasia that has_material_basis_in mutation in NPR-B receptor which results_in severe dwarfism, abnormalities of the located_in vertebral column and shortening of middle and distal segments in the located_in limb.|OMIM mapping confirmed by DO. [SN].
acroosteolysis;acro-osteolysis|Acroosteolysis syndrome;OMIM mapping confirmed by DO. [SN].
acroparesthesia syndrome;;
acrorenal syndrome;;A syndrome characterized by limb defects, usually bilateral, like cleft hands or feet and longitudinal defects involving radius or ulna, tibia or fibula and renal anomalies which include agenesis, hypoplasia and rarely polycystic kidneys. Additional malformations may involve the oro-mandibular region, the trachea and lungs, skin derivatives including sweat glands, mammary glands, the uterus, vas deferens, the nasal placodes and the eyes.
acrosyringeal nevus;Acrosyringeal nevus|Acrosyringeal nevus disorder;
ACTH-producing pituitary tumor;Pituitary Corticotropin Secreting tumor;
ACTH-secreting pituitary adenoma;ACTH-Producing Pituitary Adenoma|Corticotropinoma|Corticotroph adenoma;A functioning pituitary adenoma that characterized by excess cortisol a primary cause of Cushing's syndrome.|OMIM mapping confirmed by DO. [SN].
actinic keratosis;Solar keratosis|SK - Solar keratosis|actinic Solar Keratosis|Senile hyperkeratosis;
actinic reticuloid and actinic granuloma;;
actinobacillosis;Actinobacillosis, NOS;A commensal bacterial infectious disease that results_in infection, has_material_basis_in Actinobacillus ureae, which is a commensal of the human respiratory tract. The pathogen causes meningitis, endocarditis, bacteremia, atrophic rhinitis, bronchitis, pneumonia, conjunctivitis, peritonitis, and otitis media.
Actinobacillus infectious disease;Actinobacillus infection disorder;
Actinomadura madurae infectious disease;;
Actinomadura pelletieri infectious disease;;
actinomycosis;Actinomycotic madura foot disorder|Madura foot due to Actinomadura disorder|Actinomycotic mycetoma of foot|Actinomycotic mycetema|actinomycotic infection|actinomycetoma|boil;A commensal bacterial infectious disease that results_in infection, which is characterized by contiguous spread, suppurative and granulomatous inflammation, and formation of multiple abscesses and sinus tracts that may discharge sulfur granules, has_material_basis_in Actinomyces israelii, has_material_basis_in Actinomyces gerencseriae, has_material_basis_in Actinomyces naeslundii, has_material_basis_in Actinomyces odontolyticus, has_material_basis_in Actinomyces viscosus, has_material_basis_in Actinomyces meyeri, has_material_basis_in Propionibacterium propionicum, which require a break in the integrity of the mucous membranes and the presence of devitalized tissue to invade deeper body structures.
active cochlear Meniere's disease;active Meniere's disease, cochlear|Cochlear active Mnire's disease disorder|active cochlear Meniere disease;
active cochleovestibular Meniere's disease;Cochleovestibular active Mnire's disease disorder|active cochleovestibular Meniere disease|active Meniere's disease, cochleovestibular;
active peptic ulcer disease;GI Bleeding;
active vestibular Meniere's disease;active vestibular Meniere disease|active Meniere's disease, vestibular|Vestibular active Mnire's disease disorder;
acute allergic mucoid otitis media;;A blue drum syndrome caused by an allergen.
acute allergic sanguinous otitis media;;A acute sanguinous otitis media caused by an allergen.
acute allergic serous otitis media;;A acute serous otitis media caused by an allergen.
acute anterolateral myocardial infarction;;
acute apical periodontitis;acute apical periodontitis of pulpal origin|acute apical periodontitis of pulpal origin disorder;
acute canaliculitis;acute lacrimal canaliculitis|acute canaliculitis, lacrimal;
acute cervicitis;;
acute chest syndrome;acute chest syndrome in sickle cell disease;A lung disease that involves a vasoocclusive crisis of the pulmonary vasculature seen in patients with sickle cell anemia. The crisis is initiated by a lung infection, and the resulting inflammation and loss of oxygen tension leads to sickling of red cells and further vasoocclusion. The disease has_symptom fever, has_symptom pleuritic chest pain, has_symptom tachypnea, has_symptom cough, has_symptom hypoxemia, has_symptom marked leukocytosis, and has_symptom diffuse infiltrates on chest radiograph.
acute cholangitis;acute cholangitis disorder|acute Cholangitis;
acute closed-angle glaucoma;acute angle-closure glaucoma;
acute conjunctivitis;;
acute contagious conjunctivitis;Contagious opthalmia|Pinkeye|Pink eye;
acute cor pulmonale;acute cor pulmonale disorder;
acute cystitis;urinary tract infection;A cystitis characterized by a sudden onset or severe symptoms.
acute dacryoadenitis;;
acute dacryocystitis;Dacryocystitis - acute;
acute dermatitis due to solar radiation;;
acute diarrhea;;A diarrhea that is of rapid onset and course characterized by frequent loose or liquid bowel movements. Acute diarrhea is a common cause of death in developing countries and the second most common cause of infant deaths worldwide.
acute diffuse nephritis;acute Diffuse Glomerulonephritis;
acute disseminated encephalomyelitis;ADEM|acute Disseminated Encephalomyelitis|acute disseminated encephalomyelitis disorder|acute disseminated encephalitis;An encephalomyelitis characterized by inflammation located_in brain and located_in spinal cord that damages myelin. It usually occurs after viral infection, but also following vaccination, bacterial or parasitic infection.
acute endometritis;;
acute endophthalmitis;;
acute erythremia and erythroleukemia;;
acute erythremia and erythroleukemia in remission;;
acute ethmoiditis;ethmoidal sinus - acute|acute ethmoid sinusitis|acute ethmoidal sinusitis;A ethmoid sinusitis which lasts for less than 4 weeks.
acute eustachian salpingitis;acute eustachian tube salpingitis;A otosalpingitis with a sudden onset and a short course.
acute female pelvic peritonitis;;
acute frontal sinusitis;;A frontal sinusitis which lasts for less than 4 weeks.
acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis;;
acute gonococcal cervicitis;Gonococcal cervicitis acute|acute gonorrhea of cervix;
acute gonococcal cystitis;Gonococcal cystitis acute|acute gonorrhea of bladder;
acute gonococcal endometritis;Uterus - acute gonorrhoea|Gonococcal endometritis acute|acute gonorrhea of uterus;
acute gonococcal epididymo-orchitis;Gonococcal epididymo-orchitis acute;
acute gonococcal prostatitis;acute gonococcal prostatitis|Gonococcal prostatitis|Gonococcal prostatitis acute;
acute gonococcal salpingitis;Gonococcal salpingitis, specified as acute;
acute hemorrhagic conjunctivitis;Apollo disease|Epidemic hemorrhagic conjunctivitis|viral conjunctivitis;A viral infectious disease that results_in inflammation located in conjunctiva, has_material_basis_in Human coxsackievirus A24 or has_material_basis_in Human enterovirus 70, which are transmitted_by contaminated fomites or transmitted_by contact with contaminated hands. The infection has_symptom vascular dilation, has_symptom eyelid edema, has_symptom photophobia, has_symptom redness of the eyes, has_symptom watering of the eye, has_symptom conjunctival congestion, and has_symptom superficial punctate epithelial keratitis.
acute hemorrhagic encephalitis;;
acute hemorrhagic leukoencephalitis;acute haemorrhagic leucoencephalitis of Weston Hurst|acute necrotizing hemorrhagic leukoencephalitis|AHL |acute hemorrhagic encephalomyelitis|Weston-Hurst syndrome;A very rare form of acute disseminated encephalomyelitis, characterized by a brief but intense attack of inflammation and necrotizing vasculitis of venules and hemorrhage, and edema.|OMIM mapping confirmed by DO. [SN].
acute hydrops keratoconus;Keratoconus, acute hydrops;
acute infection of pinna;acute infection of pinna disorder;An otitis externa which involves bacterial infections often related to underlying comorbidities as well as trauma. Common sources of trauma include ear piercing, boxing, blunt trauma, burns, bite wounds and iatrogenic insults. The common bacterial pathogens are staphylococcal and streptococcal species.
acute inferolateral myocardial infarction;;
acute inferoposterior infarction;;
acute inflammation of lacrimal passage;;
acute intermittent porphyria;porphyria intermittent acute|AIP - acute intermittent porphyria|Pyrroloporphyria;
acute interstitial pneumonia;Hamman-Rich syndrome|Hamman-Rich disease|AIP|accelerated interstitial pneumonia|acute interstitial pneumonitis|Idiopathic pulmonary fibrosis, acute fatal form;A idiopathic interstitial pneumonia which develops suddenly and is severe. Initially, the lung shows edema, hyaline membranes, and interstitial acute inflammation. Later,it develops loose organizing fibrosis, mostly within alveolar septa and type II pneumocyte hyperplasia. Fever, cough, and difficulty breathing develop over 1 to 2 weeks, typically progressing to acute respiratory failure.
acute kidney failure;;
acute kidney tubular necrosis;ATN - acute tubular necrosis|acute tubular necrosis|acute renal failure with lesion of tubular necrosis|acute tubule necrosis|acute renal Failure with tubular necrosis;
acute laryngitis;;A laryngitis which lasts less than a few days.
acute laryngopharyngitis;;An upper respiratory tract disease which involves inflammation of both larynx and pharynx.
acute leukemia;Stem cell leukaemia|Stem cell Leukemia;A leukemia that occurs when a hematopoietic stem cell undergoes malignant transformation into a primitive, undifferentiated cell with abnormal longevity. These lymphocytes (acute lymphocytic leukemia [ALL]) or myeloid cells (acute myelocytic leukemia [AML]) proliferate abnormally, replacing normal marrow tissue and hematopoietic cells and inducing anemia, thrombocytopenia, and granulocytopenia.
acute lymphocytic leukemia;acute lymphoblastic leukemia;A lymphoblastic leukemia that is characterized by over production of lymphoblasts.|Xref MGI.
acute maxillary sinusitis;acute antritis;A maxillary sinusitis which lasts for less than 4 weeks.
