Preferred Label;Synonyms
pelvic complex;pelvic girdle plus pelvic limb or fin|pelvic appendage/girdle complex|pelvic girdle plus posterior limb or fin|lower limb and pelvis|lower limb|lower limb and pelvic girdle
pore cell;
positive regulation of defense response;
crypt of Lieberkuhn;intestinal gland|Lieberkuhn crypt|Lieberkuhn's glands|intestinal crypts|crypt of Lieberkuhn|lieberkuhn crypt|Lieberkuhn gland|Lieberkuhn's gland|intestinal crypt|crypts of Lieberkühn|follicles of lieberkuhn|crypt of Lieberkühn|intestinal gland of Lieberkuhn
interplexiform cell;
positive regulation of cell differentiation;
Cervidae;deer
girdle skeleton;skeleton of girdle
CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta T lymphocyte|CD8-positive, alpha-beta T-cell|CD8-positive, alpha-beta T-lymphocyte
organic acid metabolic process;
epithelium of small intestine;epithelial tissue of small intestine|small intestine epithelial tissue|mid intestine epithelium|small intestine epithelium|small bowel epithelial tissue|small bowel epithelium|epithelial tissue of small bowel|epithelium of small bowel|small intestinal epithelium
respiratory system capillary endothelium;apparatus respiratorius blood capillary endothelium|blood capillary endothelium of apparatus respiratorius|apparatus respiratorius capillary endothelium|capillary endothelium of respiratory system|blood capillary endothelium of respiratory system|endothelium of blood capillary of respiratory system|endothelium of capillary of apparatus respiratorius|respiratory system blood capillary endothelium|apparatus respiratorius capillary vessel endothelium|respiratory system endothelium of capillary vessel|capillary endothelium of apparatus respiratorius|respiratory system endothelium of blood capillary|apparatus respiratorius endothelium of blood capillary|apparatus respiratorius endothelium of capillary vessel|capillary vessel endothelium of respiratory system|respiratory system endothelium of capillary|endothelium of capillary of respiratory system|apparatus respiratorius endothelium of capillary|respiratory system capillary vessel endothelium|endothelium of capillary vessel of apparatus respiratorius|capillary vessel endothelium of apparatus respiratorius|endothelium of blood capillary of apparatus respiratorius|endothelium of capillary vessel of respiratory system
fibroblast of dermis;
surfactant secreting cell;
ion transmembrane transporter activity;
interleukin-17 receptor B;IL-17 receptor B|interleukin-17B receptor|IL-17 receptor homolog 1|cytokine receptor-like 4|IL-17ER|IL17RB|IL17Rh1|IL-17B receptor|IL-17RB|IL-17Rh1|EVI27|IL17BR|CRL4
open anatomical space;
organic anion transmembrane transporter activity;
autopod region;autopod|autopodial segment|autopodial limb segment|distal free limb segment|distal segment of free limb|autopodium|autopodium region|paw|distal segment of limb|pod|autopodial element|paw/hand/foot/hoof|manus/pes
mesentery of ileum;ileum mesentery|mesoileum|ileal mesentery
melanocyte of skin;skin melanocyte
concave 3-D shape;
male urethra;
positive regulation of angiogenesis;
Homo sapiens;man|human
X chromosome-bearing sperm cell;X bearing sperm|X-bearing sperm
fat cell differentiation;
ecto-epithelial cell of viscerocranial mucosa;
B cell tolerance induction;
Bm4 B cell;Bm4 B lymphocyte|Bm4 B-lymphocyte|Bm4 B-cell|centrocyte
retina;retina of camera-type eye|tunica interna of eyeball|inner layer of eyeball|retinas|Netzhaut
musculature of pectoral complex;musculi membri superioris|musculature of upper limb|set of muscles of upper limb|upper limb musculature|muscles of upper limb
venous system smooth muscle;
lymph gland plasmatocyte;
type 1 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth;
limb external integument structure;
Squamata;squamates
oxygen transport;
humerus cartilage element;humeral cartilage condensation
Platynereis;
intraepithelial lymphocyte;intraepithelial T-cell|intraepithelial T cell|IEL
T-cell surface glycoprotein CD8 alpha chain isoform 1;CD8A/iso:1|mCD8alpha
Purkinje cell;cerebellum Purkinje cell|Purkinje neuron|cerebellar Purkinje cell|Purkinje's cell
eosinophil granule major basic protein;
vomeronasal sensory neuron;
foregut-midgut junction;
CD16-negative, CD56-bright natural killer cell;CD56-bright cytokine secreting NK cell|CD16-CD56bright NK cell|CD16-negative, CD56-bright NK cell|CD56-bright cytokine secreting natural killer cell
obsolete megasporocyte;archesporial cell|megaspore mother cell
metanephric epithelium;
lacrimal gland epithelium;epithelial tissue of lacrimal gland|epithelium of lacrimal gland|lacrimal gland epithelial tissue
Deuterostomia;deuterostomes
commissural neuron;
cerebral cortex;cortex of cerebral hemisphere|cortex cerebralis|pallium of the brain|cortical plate (areas)|cortical plate (CTXpl)|brain cortex|cortex cerebri
abdominal segment element;abdominal segment organ
muscle of pelvis;pelvis muscle organ|pelvis muscle|pelvic muscle|muscle organ of pelvis
syncytiotrophoblast cell;plasmidotrophoblast|syncytial trophoblast|syntrophoblast
neuromere;neuromere|neuromeres|neural tube metameric segment|neural tube segment|neural segment|neural metamere
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains;
dermis lymphatic vessel endothelial cell;
C-C chemokine receptor type 2;MCP-1 receptor|chemokine receptor CCR2|JE/FIC receptor|CC-CKR-2|C-C CKR-2|CD192|monocyte chemoattractant protein 1 receptor|CCR2|CCR-2|MCP-1-R|CMKBR2
CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;non-Tc1/Tc17 CD8+ T cell|CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T lymphocyte|CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T-lymphocyte|CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T-cell
right lung associated mesenchyme;right lung mesenchyme
endothelial cell of artery;arterial endothelial cell
meningeal cluster;meninges|cerebral meninges|cluster of meninges
CX3C chemokine receptor 1;V28|CX3CR1|G-protein coupled receptor 13|fractalkine receptor|CMK-BRL1|chemokine receptor CX3CR1|CMK-BRL-1|beta chemokine receptor-like 1|C-X3-C CKR-1|CMKBRL1|GPR13
brainstem motor neuron;
localization;
obsolete anterior like cell;
regulation of chemotaxis;
acetylcholine transport;
melanocyte-stimulating hormone secretion;
gastrointestinal sphincter;
somatic diversification of immune receptors via germline recombination within a single locus;
chest;pectus|anterolateral part of thorax|front of thorax|ventral part of thoracic region|thorax|thoracic body wall
CD38-negative immature B cell;
endothelial cell of high endothelial venule;endothelial cell of postcapillary venule of lymph node|HEV cell
gas transport;
secondary lens fiber;secondary lens fibre
cerebellar Golgi cell;cerebellum Golgi cell|Golgi cell|cerebellar Golgi neuron|Golgi neuron
paired box protein PAX-5;B-cell-specific transcription factor|BSAP|PAX5|Pax-5
orifice;ostium|anatomical ostium|anatomical orifice|hilum
GlyA-positive reticulocytes;
obsolete plant spore;
sweat secreting cell;
anterior chamber of eyeball;eye anterior chamber|anterior chamber|camera anterior|anterior chamber of eye|camera anterior bulbi oculi|camera anterior bulbi|camera oculi anterior
muscle layer of ileum;muscularis externa of ileum|ileal smooth muscle|smooth muscle of ileum|muscularis propria of ileum
smooth muscle cell of bladder;
signaling;
steroid metabolic process;
Anguilliformes;eels
naive CCR4-positive regulatory T cell;naive CCR4-positive regulatory T-lymphocyte|naive CCR4+ Treg|naive CCR4-positive regulatory T lymphocyte|naive CCR4-positive regulatory T-cell
autopod joint;joint of limb of autopod|distal free limb segment joint of limb|autopod joint of limb|joint of limb of distal free limb segment|limb joint of autopod|autopod limb joint|limb joint of distal free limb segment|distal free limb segment limb joint|paw joint
immature NK T cell;immature NK T-cell|immature NKT cell|immature NK T lymphocyte|immature NK T-lymphocyte
vasculature of musculoskeletal system;
plasma membrane part;
pectoral girdle and thoracic body wall skeletal muscle;
uninucleate arthroconidium;
white matter of myelencephalon;myelencephalic white matter
nephrogenic mesenchyme;mesenchyme of nephron|nephron mesenchyme
basal proper cell of olfactory epithelium;horizontal basal cells
substantia propria of sclera;subsantia propria|subsantia propria sclerae|scleral stroma|substantia propria sclerae|stroma of sclera
Ly49H-positive natural killer cell;LyH49H-positive
principal gastric gland goblet cell;goblet cell of epithelium of principal gastric gland
obsolete microvascular endothelium blood vessel endothelial cell;
preameloblast;
striatum neuron;
immunoglobulin heavy chain V-D-J recombination;
granulocyte differentiation;
germ line stem cell;germline stem cell
respiratory primordium;
notochordal canal;chordal canal
serotonin secretion, neurotransmission;
fetal liver hematopoietic progenitor cell;
limbic system;visceral brain
vasculature;vascular network
crypt of Lieberkuhn of ileum;ileal crypt|ileal intestinal crypt|ileal crypt of Lieberkuhn
tissue remodeling;
natural killer cell receptor NKG2;
lining cell;boundary cell
Siboglinidae;vestimentiferans|pogonophores|tube worms|Polybrachiidae|Sclerolinidae|Frenulata|Vestimentifera|Oligobrachiidae|Perviata|Lamellibrachiidae|Pogonophora|Obturata|tube worms
heterochromatin;
myocyte of middle internodal tract;
eyelid mesenchyme;
B220-positive CD38-positive naive B cell;B220-positive CD38-positive naive B-cell|CD38+B220+ naive B-cell|B220+CD38+ naive B-cell|CD38+B220+ naive B lymphocyte|B220+CD38+ naive B-lymphocyte|CD38+B220+ naive B cell|B220-positive CD38-positive naive B lymphocyte|B220-positive CD38-positive naive B-lymphocyte|B220+CD38+ naive B lymphocyte|B220+CD38+ naive B cell|CD38+B220+ naive B-lymphocyte
kidney outer medulla outer stripe;stria externa medullae renalis|outer stripe of outer medulla|outer medulla outer stripe|outer stripe of medulla of kidney|outer stripe|outer stripe of renal medulla
Purkinje myocyte of atrioventricular node;
hip connective tissue;connective tissue of hip|connective tissue of regio coxae|connective tissue of hip region
right lung;
fMet-Leu-Phe receptor;N-formyl peptide receptor|FPR1|fMLP receptor|N-formylpeptide chemoattractant receptor|FPR
cardiac atrium;atria|atrium of heart|cardiac atria|atrium|heart atrium|atrial tissue
lateral ventricle neuron;lateral ventricle neural cell|lateral ventricle neuronal cells|lateral ventricle neuronal cell
xanthoblast;
type X enteroendocrine cell;A-like|X/A-like
vesicle;
dura mater;dura mater of neuraxis|pachymeninges|dura
Clara cell;bronchiolar non-ciliated cell|Clara cell of bronchiole
autopod endochondral element;
CD8_alpha-positive CD11b-negative dendritic cell;DC.8+
pes cartilage element;foot cartilage condensation
capsule of pancreas;pancreatic capsule
arcade cell;
arm;upper extremity|brachium
outer medulla vasa recta ascending limb cell;
double negative thymocyte;double negative T cell
renal vein;vein of kidney|kidney vein|renal venous tree|venae renales
T2 B cell;T2 B-lymphocyte|T2 B lymphocyte|T2 B-cell|transitional stage 2 B cell
digitopodium region;acropodium (Wagner)
paraganglial type 1 cell;
band form basophil;
atrioventricular bundle;AV bundle|fasciculus atrioventricularis|atrioventricular fasciculus|His bundle|atrioventricular bundle muscle tissue|bundle of His|atrio-ventricular bundle|A-V bundle
skeleton of digitopodium;digitopodium|skeleton of digits
extracellular matrix secreting cell;
hyphal cell;
heparin metabolic process;
endo-epithelial cell;
calcitonin secretion;
cell layer;layer|layer of cells|sheath of cells|cell sheath
T-helper 2 cell;T helper cells type 2|T(H)-2 cell|Th2 T cell|Th2 T-cell|Th2 cell|Th2 T lymphocyte|Th2 T-lymphocyte|helper T cell type 2
Eurypterygia;Eurypterygii
endothelium;
positive regulation of leukocyte chemotaxis;
olfactory segment of nasal mucosa;olfactory zone of nasal mucosa|olfactory part of nasal mucosa|olfactory mucosa|pars olfactoria tunicae mucosae nasi|olfactory area of nasal mucosa|pars olfactoria tunicae mucosae nasi
lymphocyte antigen 76;ter-119|ter119|Ly76
facio-acoustic neural crest;facio acoustic neural crest
ventral horn of spinal cord spinal cord motor neuron;
limb cartilage element;
androgen binding protein secreting cell;
type B synovial cell;
female germ line stem cell (sensu Vertebrata);
tongue muscle cell;
Suina;Artiodactyla|Suiformes
sperm capacitation;
nasopharynx;nasal part of pharynx|rhinopharynx|Nasenrachenraum|epipharynx|pars nasalis pharyngis
regulation of cell-cell adhesion;
immature NK T cell stage III;NKT.44+.NK1.1-.Th
cadherin-5;vascular endothelial cadherin|CD144|VE-cadherin|CDH5|7B4 antigen
memory CCR4-positive regulatory T cell;memory CCR4-positive regulatory T-cell|memory CCR4-positive regulatory T-lymphocyte|memory CCR4+ Treg|memory CCR4-positive regulatory T lymphocyte
somatotropin secreting cell;growth hormone secreting cell|somatotrophin secreting cell
amnioserosal cell;
frontonasal prominence;embryonic frontonasal prominence|prominentia frontonasalis|frontonasal process|forebrain prominence|frontonasal mass
gonadotropin secretion;
macula;sensory macula|macula|sensory patch|maculae|acoustic macula|acoustic maculae
positive regulation of T cell differentiation;
peripheral blood stem cell;PBSC
lymph gland crystal cell;
limb mesenchyme;limb mesoderm
aortic sac;saccus aorticus
Chimaeriformes;chimaeras|chimaeras
Catarrhini;
craniocervical muscle;muscle of head or neck|muscle of head and neck
sialoadhesin;siglec-1|CD169|SIGLEC1|sialic acid-binding Ig-like lectin 1|sheep erythrocyte receptor|SER|Sa|SN
Drosophilidae;pomace flies
plasma membrane protein complex;
right lung bronchiole;lobular bronchiole of right lung|right lung lobular bronchiole|bronchiole of right lung
foam cell;
lymph node of upper limb;
Cyclorrhapha;
simple cuboidal epithelium;epithelium simplex cuboideum|simple cuboidal epithelia
kidney cortex collecting duct epithelial cell;
mature dermal dendritic cell;
Mullerian duct;Müllerian duct|ductus paramesonephricus|Muellerian duct|paramesonephric duct|early paramesonephric duct
autopod bone;
stomach;stomach chamber|anterior intestine|ventriculus|mesenteron|gaster
metanephric macula densa;
hormone metabolic process;
acropodial skeleton;acropodial skeleton|skeletal parts of acropodial region|acropodium skeleton|set of phalanges|acropodium|digital skeleton|phalangeal skeleton|digits skeleton|skeletal parts of acropodium|skeleton of digits
mucosa of urinary bladder;bladder mucous membrane|tunica mucosa vesicae|mucous membrane of urinary bladder|urinary bladder mucosa|tunica mucosa vesicae urinariae|bladder mucosa|tunica mucosa (vesica urinaria)|mucosa of bladder|bladder organ mucosa|urinary bladder mucous membrane|mucous membrane of bladder
folliculostellate cell of pars distalis of adenohypophysis;folliculostellate cell of pars anterior of adenohypophysis
skeletogenic cell;scleroblast
primitive urogenital sinus;urogenital sinus|sinus urogenitalis|UGS|fetal UGS
neuron of the substantia nigra;
rhombencephalon neural crest;neural crest hindbrain|rhombencephalic neural crest|rhombomere neural crest
male germ cell;
specialized cardiac myocyte;
renal beta-intercalated cell;
1st arch mesenchyme from head mesenchyme;mesenchyme derived from head mesoderm of mesenchyme of 1st arch
axoneme assembly;
obsolete skeletal muscle tissue of tongue;
molecular transducer activity;
valve cell;
hair follicle cell;
endosteum;
obsolete sporangiospore;
immature Vgamma2-positive thymocyte;Vgamma2-positive thymocyte
luminal cell of prostate epithelium;
cardiocyte differentiation;
endocardium of ventricle;endocardium of cardiac ventricle|heart ventricle endocardium|cardiac ventricle endocardium|ventricle of heart endocardium|lower chamber of heart endocardium|endocardium of ventricle of heart|endocardium of lower chamber of heart|ventricular endocardium|endocardium of heart ventricle|ventricle endocardium|ventricle endocardial tissue
kidney papillary duct intercalated cell;
facial mesenchyme;face mesenchyme|mesenchyme of face
biliary system;biliary apparatus|biliary tract
progesterone secreting cell;
obsolete megaspore;
clear cell of eccrine sweat gland;
T cell mediated immunity;
organ system subdivision;
cardiac muscle tissue of interventricular septum;cardiac muscle of interventricular septum|interventricular septum heart muscle|interventricular septum myocardium|cardiac muscle tissue of interventricular septum|interventricular septum cardiac muscle|interventricular septum muscle
mesenchymal stem cell of abdominal adipose;
posterior lateral line nerve glial cell;
esophagus squamous epithelium;squamous epithelium of esophagus|esophageal squamous epithelium|squamous oesophageal epithelium
type III taste bud cell;taste bud basal cell|type 3 taste cell
vertebra pre-cartilage condensation;vertebral pre-cartilage condensation
anal region;posterior end of organism|posterior
dorsal horn of spinal cord;dorsal spinal cord|dorsal grey horn|dorsal region of spinal cord|dorsal horn|dorsal region of mature spinal cord|dorsal grey column of spinal cord|cornu dorsale|posterior grey column of spinal cord|dorsal gray column of spinal cord|dorsal horn spinal cord|dorsal gray horn|spinal cord dorsal horn|posterior gray horn of spinal cord|posterior gray column of spinal cord|spinal cord posterior horn|posterior horn of spinal cord|dorsal gray matter of spinal cord|columna grisea posterior medullae spinalis|cornu posterius medullae spinalis|dorsal horn of the spinal cord|spinal cord dorsal horns
thoracic aorta endothelial cell;
oviduct glandular cell;fallopian tube glandular cell|uterine tube glandular cell|fallopian tube glandular cells
skeleton of manual digitopodium;manual digitopodium
Rattus norvegicus;rat|brown rat|Rattus sp. strain Wistar|rats|Norway rat|Gunn rats|Rattus rattiscus|Rattus norvegicus8|Rattus norwegicus
mesenchyme of testis;testis mesenchyme
neutrophil differentiation;
ecto-epithelial cell;
pectoral complex muscle;pectoral girdle and fore limb muscles|muscle of upper limb|muscle of pectoral girdle and wing|upper limb muscle|muscle of pectoral girdle and limb
mature CD11c-negative plasmacytoid dendritic cell;
vesicle-mediated transport;
mature alpha-beta T cell;mature alpha-beta T lymphocyte|mature alpha-beta T-cell|mature alpha-beta T-lymphocyte
anatomical conduit space;foramen space
Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell;DC.8-4-11b+|spleen double-negative dendritic cell
myocardium of atrium;atrium myocardium|atrial myocardium|atrium cardiac muscle
Bm1 B cell;Bm1 B lymphocyte|Bm1 B-lymphocyte|Bm1 B-cell
negative regulation of cell-cell adhesion;
cochlear duct of membranous labyrinth;cochlea duct|Reissners canal|cochlear duct|scala medias|Reissner's canal|cochlear aqueduct|ductus cochlearis|scala media|membranous cochlea|scala of Loewenberg
type A synovial cell;type A synoviocyte
auditory epithelial cell;
monocyte differentiation;
immature CD8_alpha-negative CD11b-positive dendritic cell;
CD56-positive, CD161-positive immature natural killer cell;p-NK
placental pericyte;
fusimotor neuron;
Rodentia;rodents|rodents
langerin-positive lymph node dendritic cell;
mesenchyme derived from trunk neural crest;trunk neural crest derived mesenchyme|trunk mesenchyme from neural crest
skin of head;head zone of skin|head skin|adult head zone of skin|zone of skin of head|zone of skin of adult head
CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell;CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T lymphocyte|CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-lymphocyte|CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-cell|CCR+ Treg
mesonephric distal tubule;
IgD immunoglobulin complex;
luteinizing hormone secretion;
pleural macrophage;
presumptive paraxial mesoderm;future paraxial mesenchyme|future paraxial mesoderm
cartilage tissue;cartilaginous tissue|chondrogenic tissue|cartilage tissue|portion of cartilage tissue|cartilages|cartilage
hormone biosynthetic process;
life span;
alpha-(1,3)-fucosyltransferase;
histamine production involved in inflammatory response;
submucosa of small intestine;submucosa of small bowel|tela submucosa (intestinum tenue)|small intestine submucosa|small bowel submucosa|tela submucosa intestini tenuis|small intestinal submucosa
chamber of eyeball;eye chamber|eyeball chamber|chamber of eye
vagina squamous epithelium;vaginal squamous epithelium
pedal acropodium region;acropodial forelimb segment|toes set|pedal acropodium region|all toes|acropodial region of pes|digits of foot|acropodial segment of pes|set of toes|toes
notochordal process;chordamesoderm|presumptive notochord
glucocorticoid secretion;
noradrenergic neuron;
mucosal immune response;
CD34-positive, GlyA-negative erythroid progenitor cell;
neuron projection bundle;
epithelial cell of stomach;
guidepost cell;
pineal complex;
axial skeleton plus cranial skeleton;skeleton axiale
thoracic lymph node;lymph node of thorax|deep thoracic lymph node
immature NK T cell stage I;
smooth muscle cell derived foam cell;
respiratory system epithelium;epithelial tissue of respiratory system|epithelium of apparatus respiratorius|apparatus respiratorius epithelium|epithelial tissue of apparatus respiratorius|respiratory system epithelial tissue|epithelium of respiratory system|apparatus respiratorius epithelial tissue
ear epithelium;
Cyprinidae;
gastrin secreting cell;
microfold cell of epithelium of small intestine;
appendix lymphoid tissue;lymphatic tissue of vermiform appendix|lymphatic tissue of appendix|appendix lymphoid
mucosa of pylorus;stomach pyloric region mucous membrane|pyloric part of stomach mucous membrane|mucosa of organ of pylorus|mucous membrane of stomach pyloric region|pyloric part of stomach mucosa|stomach pyloric region organ mucosa|mucous membrane of pyloric part of stomach|pyloric part of stomach organ mucosa|pylorus mucous membrane|organ mucosa of pyloric part of stomach|mucosa of stomach pyloric region|pyloric part of stomach mucosa of organ|pylorus organ mucosa|organ mucosa of stomach pyloric region|stomach pyloric region mucosa|pylorus mucosa of organ|mucosa of organ of stomach pyloric region|stomach pyloric region mucosa of organ|mucosa of organ of pyloric part of stomach|mucous membrane of pylorus|organ mucosa of pylorus|pylorus mucosa|mucosa of pyloric part of stomach|antropyloric mucosa
natural cytotoxicity triggering receptor 1;NK cell-activating receptor|NKp46|natural killer cell p46-related protein|lymphocyte antigen 94|NCR1|mAR-1|lymphocyte antigen 94 homolog|NK-p46|CD335|activating receptor 1|LY94
reproductive organ;genital organ|sex organ|reproductive system organ|genitalia
Kit and Sca1-positive hematopoietic stem cell;Sca1-positive hematopoietic stem cell|LSK stem cell
crista ampullaris;ampullary crest of semicircular duct|ampullary crest|cristae ampullares
littoral cell of liver;
totipotent stem cell;totipotential stem cell
micropylar cell;plug cell
hemoglobin subunit zeta;HBZ|alpha-like embryonic globin chain x|hemoglobin zeta chain|zeta-globin|HBAZ|Hba-x|Hbz1|HBZ2
adipocyte of omentum tissue;omental adipocyte|omental fat cell
urinary bladder smooth muscle;involuntary muscle of bladder|urinary bladder involuntary muscle|bladder smooth muscle tissue|bladder non-striated muscle|smooth muscle of urinary bladder|urinary bladder smooth muscle tissue|non-striated muscle of bladder|urinary bladder non-striated muscle|bladder smooth muscle|non-striated muscle of urinary bladder|smooth muscle tissue of urinary bladder|smooth muscle tissue of bladder|smooth muscle of bladder|bladder involuntary muscle|urinary bladder muscle|involuntary muscle of urinary bladder|smooth muscle layer of bladder
circulatory organ;heart|cardiac pump|heart or heart like organ|circulatory vessel|cardiac structure
myeloid suppressor cell;
lactotransferrin;LTF|lactoferrin|talalactoferrin|LF
obsolete prestalk A cell;
mature Vgamma2-positive thymocyte;Vgamma2-positive
CD27-high, CD11b-high natural killer cell;
cellular metabolic process;
stratum granulosum of epidermis;stratum granulosum|epidermis stratum granulosum|granular layer of epidermis|epidermis granular layer
corpus striatum;striated body|striate body
syncytial epithelial cell;
embryo;embryonic organism|developing organism|developmental tissue
extraembryonic cell;
cochlear basement membrane;basement membrane of cochlear labyrinth|cochlea basement membrane
neck of gallbladder;cervix of gallbladder|gallbladder neck
endothelial cell of vascular tree;vascular endothelial cell|cubodial endothelial cell of vascular tree
terminal bronchiole;bronchiolus terminalis|bronchioli terminalis|terminal bronchiole tube
simple squamous epithelium;epithelium simplex squamosum|simple squamous epithelia
transitional myocyte of atrioventricular bundle;
muscle of pectoral girdle;muscle of shoulder girdle|pectoral girdle muscle
optic eminence;
capsule;
secondary nodular lymphoid tissue;secondary lymphoid tissue|secondary lymphoid nodule|peripheral lymphoid tissue
transport;
urethral sphincter;sphincter urethrae|sphincter muscle of urethra|urethral sphincter muscle|sphincter of urethra
stomach smooth muscle;involuntary muscle of stomach|smooth muscle of stomach|ventriculus smooth muscle|ventriculus non-striated muscle|smooth muscle tissue of stomach|non-striated muscle of ventriculus|smooth muscle tissue of ventriculus|ventriculus smooth muscle tissue|smooth muscle of ventriculus|non-striated muscle of stomach|involuntary muscle of ventriculus|stomach non-striated muscle|stomach involuntary muscle|stomach smooth muscle tissue|ventriculus involuntary muscle|stomach muscle|gastric smooth muscle|gastric muscle
cochlear labyrinth;
spleen;lien
interlobular bile duct;interlobular ductule
glandular columnar epithelium;
nasal skeleton;skeleton of nose
vestibular hair cell;vestibular receptor cell
CD103-negative, langerin-positive lymph node dendritic cell;
syndecan-1;SYND1|CD138|SDC1|Synd-1|SDC
cellular_component;
hindbrain vesicle;rhombencephalic vesicle
cell of skeletal muscle;skeletal muscle cell
humerus diaphysis;body of humerus|corpus humeri|diaphysis of humerus|shaft of humerus|humeral diaphysis|medial humerus|shaft of the humerus|body of the humerus
CD4-positive, CD25-positive, alpha-beta regulatory T cell;suppressor T-lymphocyte|suppressor T lymphocyte|suppressor T cell|Treg|suppressor T-cell|CD4-positive, CD25-positive, alpha-beta regulatory T-lymphocyte|CD4-positive, CD25-positive, alpha-beta regulatory T-cell|CD4-positive, CD25-positive, alpha-beta regulatory T lymphocyte
foreskin keratinocyte;
body proper;body|whole body
urethra mesenchymal layer;
coelom;enterocoelom|haemocoelom|schizocoelom|coelem|coelomic cavity
exocrine pancreas epithelium;exocrine pancreas epithelial cell|epithelium of exocrine pancreas
Malpighian tubule;Malpighian tube|Malphigian tube|tuba Malpighii
lymph vasculature;set of lymphatic vessels|trunci et ductus lymphatici|lymphatic vessels set|lymphatic vasculature|lymphatic vessel network|lymphatic trunks and ducts|lymph vessels
taxis;
DN2 thymocyte;DN2 alpha-beta immature T lymphocyte|DN2 cell|DN2 immature T cell|double negative 2|DN2 alpha-beta immature T-lymphocyte|TN2 cell|DN2 alpha-beta immature T-cell|TN2 thymocyte|preT.DN2.Th
Sophophora;
prohemocyte (sensu Nematoda and Protostomia);
rhodopsin-like G-protein coupled receptor;fam:rhodopsin|class 1 G-protein coupled receptor
Tetraodontoidei;
neprilysin;CALLA|atriopeptidase|neutral endopeptidase 24.11|common acute lymphocytic leukemia antigen|enkephalinase|MME|neutral endopeptidase|NEP|CD10|EPN
saliva-secreting gland;salivary gland|glandulae salivariae
