Alanine  ; Calcium Chloride  MEQ;;;;;;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; Calcium Chloride  MEQ;; Dibasic potassium phosphate  MEQ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; Calcium Chloride  MEQ;; Dibasic potassium phosphate  MEQ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ; Calcium Chloride  MEQ;; Dibasic potassium phosphate  MEQ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ; Cysteine  ;; Glycerin  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; Cysteine  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Dibasic potassium phosphate  ; Cysteine  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Cysteine  ; Cysteine  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Dibasic potassium phosphate  ; Cysteine  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Cysteine  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Cysteine  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Dibasic potassium phosphate  ;; Glucose  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Dibasic potassium phosphate  ;; Glucose  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; Dibasic potassium phosphate  ;; Glucose  ; ;;;;;;;;;;;;;;;;;;
Alanine  ; Cysteine  ; Glycine ; Dibasic potassium phosphate  ;; Glucose  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; Glycine ; Dibasic potassium phosphate  ;; Glucose  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; Glycine ; Dibasic potassium phosphate  ;; Glucose  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; Glycine ; Glucose  ;; Glycine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ; ; Glucose  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; ; Glucose  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ; ; Glucose  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ; ; Glucose  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ; ; Glucose  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ; ; Glucose  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Cysteine  ; ; Glucose  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; ; Glucose  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; ; Glucose  ;; Glutamate  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Dibasic potassium phosphate  ; ; Glucose  ;; Glycine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Cysteine  ; ; Glutamate  ;; Glycine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Dibasic potassium phosphate  ; ; Glutamate  ;; Glycine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Dibasic potassium phosphate  ; ; Glutamate  ;; Glycine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; ; Glutamate  ;; Glycine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Cysteine  ; Histidine ; Glutamate  ;; Glycine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; Histidine ; Glutamate  ;; Glycine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; Histidine ; Glutamate  ;; Glycine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; Histidine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Histidine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Histidine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; Isoleucine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Calcium Chloride  MEQ; Isoleucine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Isoleucine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Isoleucine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Isoleucine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; Isoleucine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; Isoleucine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ; Leucine ; Glycine  ;; Histidine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; Leucine ; Histidine ;; Leucine ; Lysine ;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; Leucine ; Histidine ;; Leucine ; Lysine ;;;;;;;;;;;;;;;;;
Alanine  ; Dibasic potassium phosphate  ; Leucine ; Histidine ;; Leucine ; Lysine ;;;;;;;;;;;;;;;;;
Alanine  ; Dibasic potassium phosphate  ; Leucine ; Histidine ;; Leucine ; Magnesium Chloride ;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; Leucine ; Histidine  ;; Isoleucine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glycine  ; Leucine ; Histidine  ;; Isoleucine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ; ; Histidine  ;; Isoleucine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ;; Histidine  ;; Isoleucine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Aspartate  ; Oral Tablet; Histidine  ;; Isoleucine  ; ;;;;;;;;;;;;;;;;;
Alanine  ; Glucose  ;; Histidine  ;; Isoleucine  ; ;;;;;;;;;;;;;;;;;
Acetaminophen  ; Eucalyptol  ; Oral Solution ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylephrine  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ;;;;;;;;;;;;;;;;;;;;;;
alpha Tocopherol  UNT ; Cholecalciferol  UNT ; docosahexaenoic acid  ;;;;;;;;;;;;;;;;;;;;;
alpha Tocopherol  UNT ; docosahexaenoic acid  ; ;;;;;;;;;;;;;;;;;;;;;
alpha Tocopherol  UNT ; Calcium Carbonate  ; ;;;;;;;;;;;;;;;;;;;;;
alpha Tocopherol  UNT ; Cholecalciferol  UNT ; Copper Sulfate  ;;;;;;;;;;;;;;;;;;;;;
alpha-Tocopherol Acetate  ; Biotin  ;;;;;;;;;;;;;;;;;;;;;;
alpha-Tocopherol Acetate  ; Beta Carotene  UNT ;;;;;;;;;;;;;;;;;;;;;;
alpha-Tocopherol Acetate  UNT; Biotin  ;;;;;;;;;;;;;;;;;;;;;;
alpha-Tocopherol Acetate  UNT ; Cholecalciferol  UNT ; Folic Acid  ; Oral Tablet;;;;;;;;;;;;;;;;;;;;
alpha-Tocopherol Acetate  UNT ; Beta Carotene  UNT ; Calcium Carbonate  ;;;;;;;;;;;;;;;;;;;;;
alpha-Tocopherol Acetate  UNT ; Calcium Carbonate  ; ;;;;;;;;;;;;;;;;;;;;;
alpha-Tocopherol Acetate  UNT ; Calcium Citrate  ; ;;;;;;;;;;;;;;;;;;;;;
alpha-Tocopherol Acetate  UNT ; Cholecalciferol  UNT ; docosahexaenoic acid  ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ; Oral Tablet;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; salicylamide  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Tablet; Topical Spray;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Codeine Phosphate  ;; Topical Spray ;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylpropanolamine  ; Oral Tablet ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylpropanolamine  ; Chewable Tablet;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Chewable Tablet ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Suspension;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylpropanolamine  ; Oral Suspension ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Solution;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Solution ;;;;;;;;;;;;;;;;;;;;;
acetanilide  ; Caffeine  ;;;;;;;;;;;;;;;;;;;;;;
Aluminum Hydroxide  ; Caffeine  ;;;;;;;;;;;;;;;;;;;;;;
Aluminum Hydroxide  ; Magnesium Hydroxide  ;;;;;;;;;;;;;;;;;;;;;;
Aluminum Hydroxide  ; Calcium Carbonate  ;;;;;;;;;;;;;;;;;;;;;;
Aluminum Hydroxide  ; Codeine  ;; ;; Oral Capsule;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Caffeine  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Cysteine  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; diphenylpyraline  ; Oral Solution ; Phenylephrine  ;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylephrine  ;;;;;;;;;;;;;;;;;;;;;;
Ambroxol  ; Butethamate  ;;;;;;;;;;;;;;;;;;;;;;
Amiloride  ; Hydrochlorothiazide  ;;;;;;;;;;;;;;;;;;;;;;
Amiloride Hydrochloride  ; Hydrochlorothiazide  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; ethaverine  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Chlorpheniramine Maleate  ;;;;;;;;;;;;;;;;;;;;;;
African Pygeum Extract  ; pumpkin seed oil  ;;;;;;;;;;;;;;;;;;;;;;
African Pygeum Extract  ; Pumpkin seed oil extract  ;;;;;;;;;;;;;;;;;;;;;;
Allantoin  ; Lidocaine  ; Topical Ointment ;;;;;;;;;;;;;;;;;;;;;
Allantoin  ; Benzyl Alcohol  ; Vaginal Suppository;;;;;;;;;;;;;;;;;;;;;
Allantoin  ; Camphor  ;; Pseudoephedrine Hydrochloride  ;; Scopolamine Hydrobromide  ; Extended Release Tablet;;;;;;;;;;;;;;;;;
Allantoin  ; dimethicone  ; Vaginal Cream; Pseudoephedrine Hydrochloride  ;; Scopolamine Hydrobromide  ; Oral Tablet ;;;;;;;;;;;;;;;;;
Allantoin  ; dimethicone  ;; Scopolamine Hydrobromide  ;;;;;;;;;;;;;;;;;;;;
Antipyrine  ; Urea  ;;;;;;;;;;;;;;;;;;;;;;
Antipyrine  ; Phenylephrine  ;; Topical Cream;;;;;;;;;;;;;;;;;;;;
Antipyrine  ; Zinc Acetate  ;;;;;;;;;;;;;;;;;;;;;;
Bacitracin  ; Tyrothricin  ; Topical Ointment ;;;;;;;;;;;;;;;;;;;;;
Bacitracin  ; Tyrothricin  ;;;;;;;;;;;;;;;;;;;;;;
Benzalkonium  ; Hexylresorcinol  ;;;;;;;;;;;;;;;;;;;;;;
Benzalkonium Chloride  ; zinc chloride  ; Topical Cream;;;;;;;;;;;;;;;;;;;;;
Benzalkonium Chloride  ; zinc chloride  ;;;;;;;;;;;;;;;;;;;;;;
Benzethonium Chloride  ; Menthol  ;;;;;;;;;;;;;;;;;;;;;;
Ammonium Chloride  ; clobutinol  ;;;;;;;;;;;;;;;;;;;;;;
Atropine  ; Hyoscyamine  ;;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; ;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; ;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; ;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; ;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; ;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; ;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; ;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; ; Riboflavin  ;; Sodium Fluoride  ; ;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; ; Vitamin B   ;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ; Oral Tablet;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Hyoscyamine Sulfate  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Tetracycline  ; Oral Solution;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Calcium Pantothenate  ; ;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; CALCIUM CARBONATE; ;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; cuprous oxide  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Biotin  ; Oral Solution;;;;;;;;;;;;;;;;;;;;;
Activated Charcoal  ; Pancreatin  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Bromelains  ; ;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Hesperidin  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Echinacea Preparation  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Calcium Pantothenate  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Calcium ascorbate  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Grape Seed Extract  ;;;;;;;;;;;;;;;;;;;;;;
Bilberry extract  ; Quercetin  ;; Docusate ;; Iron Carbonyl ; Magnesium Oxide ;;;;;;;;;;;;;;;;;
 HR Ascorbic Acid  ; Copper Sulfate  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Calcium Carbonate  ; ; pantothenate ;; Riboflavin ; Thiamine ;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Calcium Pantothenate  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Cholecalciferol  UNT ;; Docusate Sodium  ;; Ferrous fumarate  ; ;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Calcium Carbonate  ;; Choline Bitartrate  ;; Ferrous fumarate  ; ;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Folic Acid  ;; Cupric oxide  ;; Docusate Sodium  ; ;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Calcium Pantothenate  ; Oral Tablet; Folic Acid ;; tricalcium phosphate Oral Capsule;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Docusate Sodium  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; dl-alpha tocopheryl acetate  UNT ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Copper Sulfate  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Ferrous fumarate  ;;;;;;;;;;;;;;;;;;;;;;
Benzocaine  ; Zinc Oxide  ;;;;;;;;;;;;;;;;;;;;;;
Aluminum Hydroxide  ; Magnesium Hydroxide  ;;;;;;;;;;;;;;;;;;;;;;
Benzocaine  ; Cerium oxalate  ;;;;;;;;;;;;;;;;;;;;;;
beeswax  ; momordicae  ;;;;;;;;;;;;;;;;;;;;;;
ALPHA-D-GALACTOSIDASE ENZYME  ; Papain  ; ; Scopolamine Hydrobromide  ;;;;;;;;;;;;;;;;;;;;
Betaine Hydrochloride  ; Pancreatin  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Pseudoephedrine  ;;;;;;;;;;;;;;;;;;;;;;
Aspirin  ; Dextromethorphan  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Pseudoephedrine Hydrochloride  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Pseudoephedrine Hydrochloride  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylpropanolamine Hydrochloride  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Dextromethorphan Hydrobromide  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Pseudoephedrine Hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylpropanolamine Hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Phenyltoloxamine citrate  ; ;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Phenyltoloxamine citrate  ; ;;;;;;;;;;;;;;;;;;;;;
Atropine Sulfate  ; Phenyltoloxamine citrate  ;;;;;;;;;;;;;;;;;;;;;;
Aloe Extract  ; Phenolphthalein  ;;;;;;;;;;;;;;;;;;;;;;
aprobarbital  ; Phenobarbital  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; ; Oral Suspension;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Rectal Suppository;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Solution;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Solution ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Capsule; ;; ; Folic Acid  ;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Capsule ; Iron Carbonyl  ;; Vitamin B   ; Oral Tablet;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Powder; Iron Carbonyl  ;; Vitamin B   ; Oral Tablet ;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Powder ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Oral Tablet;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Codeine  ; Oral Capsule ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Caffeine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Codeine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Codeine  ;;;;;;;;;;;;;;;;;;;;;;
Aspirin  ; Caffeine  ; ; Codeine Phosphate  ;;;;;;;;;;;;;;;;;;;;
Aspirin  ; Caffeine  ;; Hydrocodone Bitartrate  ;;;;;;;;;;;;;;;;;;;;
Benzocaine  ; Tetracaine  ;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Diosmin  ; Cupric oxide  ;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Diosmin  ; ;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Hesperidin  ; ;;;;;;;;;;;;;;;;;;;;;
bismuth subgallate  ; Zinc Oxide  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Magnesium Salicylate  ; ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Chlorpheniramine Maleate  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Chlorpheniramine  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Codeine  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; salicylamide  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; salicylamide  ; Oral Solution ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylpropanolamine  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Magnesium Salicylate  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Magnesium Salicylate  ; Oral Tablet;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Salicylic Acid  ; Oral Tablet;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; homatropine  ; Oral Tablet;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Magnesium Salicylate  ; Oral Capsule;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Guaifenesin  ; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Guaifenesin  ; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Guaifenesin  ; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Guaifenesin  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylephrine  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Chlorpheniramine  ; Oral Powder;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Codeine  ; Oral Powder ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; dihydrocodeine bitartrate  ;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; isometheptene  ; Oral Capsule ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; isometheptene  ; Oral Tablet;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; isometheptene  ; Oral Tablet ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Chlorpheniramine  ; Oral Tablet ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Hyoscyamus extract  ; Oral Tablet ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Phenylpropanolamine  ; Oral Tablet ;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ; Guaifenesin  ; Oral Tablet ; Chlorpheniramine  ;; Phenylephrine  ; Oral Capsule;;;;;;;;;;;;;;;;;
Acetaminophen  ; Chlorpheniramine  ; Oral Capsule; Phenylephrine  ;;;;;;;;;;;;;;;;;;;;
